Facility Name,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/12/2026,,,4,0,0,0,4,6,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/12/2026,,,11,0,0,0,6,7,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/12/2026,,,23,1,0,0,21,24,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/12/2026,,,29,0,0,0,29,36,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/12/2026,,,41,0,0,0,21,16,
Feni Civil Surgeon Office,Chattogram,Feni,4/12/2026,,,5,0,0,0,3,7,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/12/2026,,,0,0,0,0,0,0,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/12/2026,,,11,0,0,0,11,17,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/12/2026,,,17,0,0,0,17,7,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/12/2026,,,0,0,0,0,0,0,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/12/2026,,,0,9,0,0,1,2,
Asgar Ali Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Bangladesh medical University,Dhaka,Dhaka,4/12/2026,,,5,5,0,0,5,2,
Bangladesh Shishu Hospital & Institute,Dhaka,Dhaka,4/12/2026,,,11,0,0,0,11,11,
Bangladesh Specialized Hospital PLC,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,2,
BIHS General Hospital,Dhaka,Dhaka,4/12/2026,,,1,0,0,0,1,1,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,1,0,0,1,
BRB Hospital Ltd,Dhaka,Dhaka,4/12/2026,,,5,0,0,0,2,0,
City Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/12/2026,,,7,0,0,0,7,1,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
DELTA HOSPITAL LIMITED,Dhaka,Dhaka,4/12/2026,,,1,0,0,0,1,0,
Dhaka Central International Medical College & Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/12/2026,,,116,6,0,0,47,2,
Dhaka medical College hospital,Dhaka,Dhaka,4/12/2026,,,2,2,1,1,2,3,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/12/2026,,,143,33,0,0,84,68,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/12/2026,,,32,32,1,1,11,8,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,2,0,0,2,3,
Enam Medical College & Hospital,Dhaka,Dhaka,4/12/2026,,,0,2,0,2,2,5,
Evercare Hospital Dhaka,Dhaka,Dhaka,4/12/2026,,,3,0,0,0,3,1,
"haheed Monsur Ali Medical College Hospital, Uttara, Dhaka",Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Holy Family Red Crescent Medical College Hospital,Dhaka,Dhaka,4/12/2026,,,0,2,0,0,2,0,
Ibn Sina Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Ibn Sina Medical College Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/12/2026,,,30,0,1,0,17,21,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,1,
Japan Bangladesh Friendship Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Khidmah Hospital (Pvt.) Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Kurmitola General Hospital,Dhaka,Dhaka,4/12/2026,,,7,0,0,0,2,2,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/12/2026,,,1,1,0,0,1,1,
Labaid Hospital,Dhaka,Dhaka,4/12/2026,,,1,1,0,0,1,1,
Life & Care Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Medical College for Women & Hospital,Dhaka,Dhaka,4/12/2026,,,1,0,0,0,0,2,
Millennium Specialized Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,1,1,0,1,2,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Popular Medical College And Hospital Ltd.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/12/2026,,,41,20,0,0,34,40,
Sir Salimullah medical College Mitford Hospital Dhaka,Dhaka,Dhaka,4/12/2026,,,5,0,0,0,1,0,
United Medical College Hospital,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Universal medical college hospital,Dhaka,Dhaka,4/12/2026,,,0,1,0,0,0,0,
UTTARA CRESCENT CLINIC PVT. LTD.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,2,
Z H Sikder Women's Medical College & Hospital (pvt) Ltd. Gulshan.,Dhaka,Dhaka,4/12/2026,,,0,0,0,0,0,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/12/2026,,,25,0,0,0,22,15,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/12/2026,,,19,4,0,0,19,22,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/12/2026,,,15,0,0,0,10,15,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/12/2026,,,16,0,0,0,15,7,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/12/2026,,,12,2,0,0,10,19,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/12/2026,,,9,0,0,0,6,2,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/12/2026,,,6,0,0,0,6,11,
narayanganj Civil Surgeon Office,Dhaka,narayanganj,4/12/2026,,,0,0,0,0,0,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/12/2026,,,13,0,0,0,13,8,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/12/2026,,,11,0,0,0,1,1,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/12/2026,,,8,0,0,0,3,7,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/12/2026,,,34,0,0,0,14,23,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/12/2026,,,5,0,0,0,5,3,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/12/2026,,,3,0,0,0,3,1,
jashore Civil Surgeon Office,Khulna,jashore,4/12/2026,,,18,0,0,0,18,10,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/12/2026,,,12,0,0,0,12,7,
Khulna Civil Surgeon Office,Khulna,Khulna,4/12/2026,,,7,0,1,0,7,3,
Kushtia Civil Surgeon Office,Khulna,Kushtia,4/12/2026,,,23,0,0,0,23,4,
Magura Civil Surgeon Office,Khulna,Magura,4/12/2026,,,10,0,0,0,7,2,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/12/2026,,,13,0,0,0,4,3,
Narail Civil Surgeon Office,Khulna,Narail,4/12/2026,,,4,0,0,0,4,1,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/12/2026,,,7,0,0,0,7,3,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/12/2026,,,8,0,0,0,8,5,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/12/2026,,,11,0,0,0,1,2,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/12/2026,,,12,0,0,0,12,3,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/12/2026,,,3,0,0,0,1,0,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/12/2026,,,4,0,0,0,5,5,
chapainawabganj Civil Surgeon Office,Rajshahi,chapainawabganj,4/12/2026,,,16,3,0,0,16,27,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/12/2026,,,2,0,0,0,2,6,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/12/2026,,,16,0,0,0,7,9,
Natore Civil Surgeon Office,Rajshahi,Natore,4/12/2026,,,13,0,0,0,1,4,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/12/2026,,,16,0,0,0,16,1,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/12/2026,,,156,0,0,0,15,13,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/12/2026,,,1,1,0,0,0,0,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/12/2026,,,17,17,0,0,17,12,
Dinajpur Civil Surgeon Office,Rangpur,Dinajpur,4/12/2026,,,17,0,0,0,0,1,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/12/2026,,,4,0,0,0,2,1,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/12/2026,,,0,0,0,0,0,1,
lalmonirhat Civil Surgeon Office,Rangpur,lalmonirhat,4/12/2026,,,1,0,0,0,1,4,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/12/2026,,,5,0,0,0,0,0,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/12/2026,,,1,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/12/2026,,,3,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/12/2026,,,10,0,0,0,8,2,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/12/2026,,,3,0,0,0,3,6,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/12/2026,,,7,1,0,0,4,2,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/12/2026,,,16,0,0,0,13,16,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/12/2026,,,23,0,0,0,16,8,
Barguna Civil Surgeon Office,Barisal,Barguna,4/13/2026,,,16,0,0,0,12,3,
Barisal Civil Surgeon Office,Barisal,Barisal,4/13/2026,,,1,0,0,0,1,0,
Bhola Civil Surgeon Office,Barisal,Bhola,4/13/2026,,,5,0,0,0,5,5,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/13/2026,,,5,0,0,0,2,0,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/13/2026,,,18,0,0,0,18,17,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/13/2026,,,19,0,0,0,4,1,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/13/2026,,,6,0,0,0,6,0,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/13/2026,,,4,2,0,0,4,12,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/13/2026,,,10,0,0,0,10,15,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/13/2026,,,19,0,0,0,19,15,
"Civl Surgeon Office, Cox's Bazar",Chattogram,Cox's Bazar,4/13/2026,,,34,0,0,0,34,21,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/13/2026,,,45,0,0,0,25,18,
Feni Civil Surgeon Office,Chattogram,Feni,4/13/2026,,,4,0,0,0,4,3,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/13/2026,,,0,0,0,0,0,0,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/13/2026,,,10,0,0,0,10,12,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/13/2026,,,9,0,0,0,9,7,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/13/2026,,,0,0,0,0,0,0,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Aichi Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,1,1,0,0,1,1,
Al-Manar Hospital Ltd,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/13/2026,,,0,7,0,0,1,3,
Asgar Ali Hospital,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Bangladesh medical University,Dhaka,Dhaka,4/13/2026,,,6,6,0,0,6,1,
Bangladesh Shishu Hospital & Institute,Dhaka,Dhaka,4/13/2026,,,6,0,0,0,6,10,
Bangladesh Specialized Hospital PLC,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
BIHS General Hospital,Dhaka,Dhaka,4/13/2026,,,1,0,0,0,1,0,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/13/2026,,,1,0,0,0,1,2,
BRB Hospital Ltd,Dhaka,Dhaka,4/13/2026,,,6,0,0,0,2,0,
Central Police Hospital Rajarbag Dhaka,Dhaka,Dhaka,4/13/2026,,,1,1,0,0,0,0,
City Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,0,1,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/13/2026,,,13,0,0,0,8,12,
Continental Hospital,Dhaka,Dhaka,4/13/2026,,,2,0,0,0,2,1,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
DELTA HOSPITAL LIMITED,Dhaka,Dhaka,4/13/2026,,,1,0,0,0,1,0,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/13/2026,,,60,2,0,0,2,1,
Dhaka medical College hospital,Dhaka,Dhaka,4/13/2026,,,3,3,1,1,3,3,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/13/2026,,,176,0,2,1,65,73,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/13/2026,,,41,41,0,0,4,9,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,0,2,0,0,2,1,
Enam Medical College & Hospital,Dhaka,Dhaka,4/13/2026,,,0,4,0,0,4,1,
Evercare Hospital Dhaka,Dhaka,Dhaka,4/13/2026,,,1,0,0,0,1,1,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Holy Family Red Crescent Medical College Hospital,Dhaka,Dhaka,4/13/2026,,,2,0,0,0,0,0,
Ibn Sina Hospital,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Ibne Sina Medical college Hospital,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/13/2026,,,60,4,0,0,5,16,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Japan Bangladesh Friendship Hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Khidmah Hospital (Pvt.) Ltd,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Kurmitola General Hospital,Dhaka,Dhaka,4/13/2026,,,11,0,0,0,4,4,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/13/2026,,,1,0,0,0,1,4,
Labaid Hospital,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,2,
MARKS Medical College,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
Millennium Specialized hospital Ltd.,Dhaka,Dhaka,4/13/2026,,,1,0,0,0,0,2,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
"Shaheed Monsur Ali Medical College Hospital, Uttara, Dhaka",Dhaka,Dhaka,4/13/2026,,,0,0,0,0,2,0,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/13/2026,,,30,0,1,0,24,17,
Sir Salimullah medical College Mitford Hospital Dhaka,Dhaka,Dhaka,4/13/2026,,,13,0,0,0,0,0,
United Medical College Hospital,Dhaka,Dhaka,4/13/2026,,,0,2,0,0,0,1,
Universal medical college hospital,Dhaka,Dhaka,4/13/2026,,,0,0,0,0,0,0,
UTTARA CRESCENT CLINIC PVT. LDT.,Dhaka,Dhaka,4/13/2026,,,2,2,0,0,2,2,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/13/2026,,,23,0,0,0,15,16,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/13/2026,,,17,0,0,0,10,5,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/13/2026,,,17,0,0,0,12,17,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/13/2026,,,33,0,0,0,33,43,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/13/2026,,,7,0,0,0,7,6,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/13/2026,,,17,0,0,0,13,15,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/13/2026,,,6,0,0,0,4,4,
Narayanganj Civil Surgeon Office,Dhaka,Narayanganj,4/13/2026,,,2,0,0,0,2,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/13/2026,,,27,0,0,0,13,18,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/13/2026,,,9,0,0,0,3,1,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/13/2026,,,2,0,0,0,2,3,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/13/2026,,,16,0,0,0,12,10,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/13/2026,,,20,0,0,0,2,0,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/13/2026,,,8,0,0,0,8,6,
jashore Civil Surgeon Office,Khulna,jashore,4/13/2026,,,14,0,0,0,10,12,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/13/2026,,,6,0,0,0,6,0,
Khulna Civil Surgeon Office,Khulna,Khulna,4/13/2026,,,10,0,0,0,10,10,
Kushtia Civil Surgeon Office,Khulna,Kushtia,4/13/2026,,,56,0,0,0,56,54,
Magura Civil Surgeon Office,Khulna,Magura,4/13/2026,,,13,0,0,0,11,11,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/13/2026,,,4,0,0,0,3,0,
Narail Civil Surgeon Office,Khulna,Narail,4/13/2026,,,5,0,0,0,5,4,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/13/2026,,,7,0,0,0,7,6,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/13/2026,,,5,0,0,0,5,4,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/13/2026,,,6,0,0,0,0,0,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/13/2026,,,17,0,0,0,11,4,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/13/2026,,,1,0,0,0,1,3,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/13/2026,,,39,0,0,0,11,21,
chapainawabganj Civil Surgeon Office,Rajshahi,chapainawabganj,4/13/2026,,,52,0,0,0,52,33,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/13/2026,,,10,0,0,0,6,9,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/13/2026,,,9,0,0,0,5,4,
Natore Civil Surgeon Office,Rajshahi,Natore,4/13/2026,,,15,0,0,0,5,6,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/13/2026,,,16,0,0,0,16,32,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/13/2026,,,153,0,1,0,9,11,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/13/2026,,,0,0,0,0,0,0,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/13/2026,,,4,4,0,0,4,7,
Dinajpur Civil Surgeon Office,Rangpur,Dinajpur,4/13/2026,,,10,0,0,0,0,5,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/13/2026,,,8,0,0,0,6,0,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/13/2026,,,0,0,0,0,0,1,
Lalmonirhat Civil Surgeon Office,Rangpur,Lalmonirhat,4/13/2026,,,5,0,0,0,3,2,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/13/2026,,,1,0,0,0,1,3,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/13/2026,,,1,0,0,0,0,0,
Kasir Uddin Hospital & Diagnostic Center,Rangpur,Rangpur,4/13/2026,,,0,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/13/2026,,,0,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/13/2026,,,1,0,0,0,1,7,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/13/2026,,,7,0,0,0,2,5,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/13/2026,,,9,0,0,0,9,9,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/13/2026,,,16,0,0,0,7,3,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/13/2026,,,23,0,0,0,20,7,
Barguna Civil Surgeon Office,Barisal,Barguna,4/14/2026,,,22,0,0,0,8,4,
Barisal Civil Surgeon Office,Barisal,Barisal,4/14/2026,,,5,0,0,0,5,3,
Bhola Civil Surgeon Office,Barisal,Bhola,4/14/2026,,,9,0,0,0,9,9,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/14/2026,,,6,0,0,0,2,3,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/14/2026,,,18,0,0,0,18,23,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/14/2026,,,11,0,0,0,4,8,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/14/2026,,,37,1,0,0,23,306,
bandarban Civil Surgeon Office,Chattogram,bandarban,4/14/2026,,,3,0,0,0,3,0,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/14/2026,,,3,0,0,0,3,3,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/14/2026,,,10,0,0,0,10,6,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/14/2026,,,28,2,0,1,28,35,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/14/2026,,,23,0,1,0,23,40,
Feni Civil Surgeon Office,Chattogram,Feni,4/14/2026,,,2,0,0,0,2,5,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/14/2026,,,0,0,0,0,0,0,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/14/2026,,,9,0,0,0,9,6,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/14/2026,,,8,0,0,0,8,10,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/14/2026,,,0,0,0,0,0,0,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,0,
Aichi Hospital Ltd.,Dhaka,Dhaka,4/14/2026,,,1,1,0,0,0,0,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/14/2026,,,0,14,0,0,7,2,
Bangladesh medical University,Dhaka,Dhaka,4/14/2026,,,7,7,0,0,7,2,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/14/2026,,,2,0,0,0,0,0,
Central Police Hospital Rajarbag Dhaka,Dhaka,Dhaka,4/14/2026,,,1,1,0,0,1,1,
City Hospital Ltd.,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/14/2026,,,6,0,2,0,4,0,
DELTA HOSPITAL LIMITED,Dhaka,Dhaka,4/14/2026,,,1,0,0,0,1,2,
Dhaka medical College hospital,Dhaka,Dhaka,4/14/2026,,,2,2,0,0,2,2,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/14/2026,,,150,45,0,0,86,61,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/14/2026,,,45,45,0,0,8,6,
Enam Medical College & Hospital,Dhaka,Dhaka,4/14/2026,,,0,4,0,0,4,3,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Nohakhali, Dhaka-1212",Dhaka,Dhaka,4/14/2026,,,44,23,1,0,20,10,
Japan Bangladesh Friendship Hospital Ltd.,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,0,
Kurmitola General Hospital,Dhaka,Dhaka,4/14/2026,,,7,0,0,0,4,5,
Millennium Specialized Hospital,Dhaka,Dhaka,4/14/2026,,,1,0,1,0,1,3,
"Mugda Medical College Hospital, Dhaka",Dhaka,Dhaka,4/14/2026,,,17,0,0,0,17,18,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/14/2026,,,18,6,0,0,16,37,
Sir Salimullah Medical Collage Mitford Hospital Dhaka,Dhaka,Dhaka,4/14/2026,,,13,0,0,0,0,0,
Square Hospital Lt,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,0,
Universal medical college hospital,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,1,
UTTARA CRESCENT CLINIC PVT. LTD.,Dhaka,Dhaka,4/14/2026,,,1,1,0,0,1,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/14/2026,,,21,0,1,0,0,16,
Asgar Ali Hospital,Dhaka,Dhaka,4/14/2026,,,0,0,0,0,0,2,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/14/2026,,,24,0,0,0,24,24,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/14/2026,,,20,0,0,0,17,14,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/14/2026,,,13,0,0,0,12,9,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/14/2026,,,6,0,0,0,6,6,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/14/2026,,,15,4,0,0,14,4,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/14/2026,,,5,1,0,0,5,3,
Narayanganj Civil Surgeon Office,Dhaka,Narayanganj,4/14/2026,,,0,0,0,0,0,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/14/2026,,,13,0,0,0,7,5,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/14/2026,,,8,0,0,0,5,1,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/14/2026,,,8,2,0,0,3,2,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/14/2026,,,36,1,1,0,18,19,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/14/2026,,,0,0,0,0,0,2,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/14/2026,,,4,0,0,0,4,4,
