Facility Name,Email,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent,,,,,,,,,,
Dhaka Community Medical College Hospital,ashrafulislamirfan@gmail.com,Dhaka,Dhaka,4/10/2026,,,55,2,0,0,2,2,,,,,,,,,,,
DHAKA MEDICAL COLLEGE HOSPITAL,dmch@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,5,5,0,0,5,0,,,,,,,,,,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,126,33,0,0,70,44,,,,,,,,,,,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,Dhaka,Dhaka,4/10/2026,,,30,30,0,0,6,6,,,,,,,,,,,
Enam Medical College & Hospital,info@emch.com.bd,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,2,3,,,,,,,,,,,
Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,Dhaka,Faridpur,4/10/2026,,,15,0,2,0,17,11,,,,,,,,,,,
Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,Chattogram,Feni,4/10/2026,,,12,0,0,0,1,6,,,,,,,,,,,
Gaibandha Civil Surgeon Office,gaibandha@cs.dghs.gov.bd,Rangpur,Gaibandha,4/10/2026,,,2,0,0,0,2,0,,,,,,,,,,,
Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,Dhaka,Gazipur,4/10/2026,,,9,10,0,0,9,16,,,,,,,,,,,
Gopalganj  Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,Dhaka,Gopalganj  ,4/10/2026,,,12,2,0,0,7,13,,,,,,,,,,,
Habiganj Civil Surgeon Office,habiganj@cs.dghs.gov.bd,Sylhet,Habiganj,4/10/2026,,,13,1,0,0,8,7,,,,,,,,,,,
Hi-Care General Hospital Ltd.,hicare13@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",kidh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,30,7,0,0,24,14,,,,,,,,,,,
Insaf Barakah Kidney & General Hospital,insafbarakah@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Jamalpur Civil Surgeon Office,jamalpur@cs.dghs.gov.bd,Mymensingh,Jamalpur,4/10/2026,,,2,0,0,0,2,10,,,,,,,,,,,
jashore Civil Surgeon Office,jashore@cs.dghs.gov.bd,Khulna,jashore,4/10/2026,,,26,1,0,0,16,22,,,,,,,,,,,
Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,Barisal,Jhalakathi,4/10/2026,,,14,0,0,0,0,4,,,,,,,,,,,
Jhenaidah Civil Surgeon Office,jhenaidah@cs.dghs.gov.bd,Khulna,Jhenaidah,4/10/2026,,,3,8,0,0,3,0,,,,,,,,,,,
Joypurhat Civil Surgeon Office,joypurhat@cs.dghs.gov.bd,Rajshahi,Joypurhat,4/10/2026,,,12,0,0,0,7,5,,,,,,,,,,,
Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,Chattogram,Khagrachhari,4/10/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Khulna Civil Surgeon Office,khulna@cs.dghs.gov.bd,Khulna,Khulna,4/10/2026,,,6,0,1,0,6,1,,,,,,,,,,,
Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,Dhaka,Kishoreganj,4/10/2026,,,8,1,0,0,5,1,,,,,,,,,,,
Kurigram Civil Surgeon Office,kurigram@cs.dghs.gov.bd,Rangpur,Kurigram,4/10/2026,,,4,0,0,0,3,2,,,,,,,,,,,
Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,6,0,0,0,3,2,,,,,,,,,,,
KUSHTIA Civil Surgeon Office,kushtia@cs.dghs.gov.bd,Khulna,KUSHTIA,4/10/2026,,,19,0,1,0,19,12,,,,,,,,,,,
Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,1,0,0,0,3,0,,,,,,,,,,,
Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,Chattogram,Lakshmipur,4/10/2026,,,7,0,0,0,7,8,,,,,,,,,,,
Lalmonirhat Civil Surgeon Office,lalmonirhat@cs.dghs.gov.bd,Rangpur,Lalmonirhat,4/10/2026,,,3,0,0,0,3,3,,,,,,,,,,,
Life & Care Hospital Ltd.,lifeandcarehospital@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,Dhaka,Madaripur,4/10/2026,,,15,0,0,0,13,3,,,,,,,,,,,
Magura Civil Surgeon Office,magura@cs.dghs.gov.bd,Khulna,Magura,4/10/2026,,,11,1,0,0,7,9,,,,,,,,,,,
Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,Dhaka,Manikganj,4/10/2026,,,13,0,0,0,12,6,,,,,,,,,,,
Medical College for Women & Hospital,nurarubel@outlook.com,Dhaka,Dhaka,4/10/2026,,,1,0,0,0,0,3,,,,,,,,,,,
Meherpur Civil Surgeon Office,meherpur@cs.dghs.gov.bd,Khulna,Meherpur,4/10/2026,,,10,0,0,0,2,5,,,,,,,,,,,
Millennium Specialized Hospital ltd.,infomshl99@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,1,0,0,1,2,,,,,,,,,,,
Moulvibazar Civil Surgeon Office,moulvibazar@cs.dghs.gov.bd,Sylhet,Moulvibazar,4/10/2026,,,12,0,0,0,8,2,,,,,,,,,,,
"Mugda Medical College Hospital, Dhaka",first@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,6,0,0,0,6,4,,,,,,,,,,,
Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,Dhaka,Munshiganj,4/10/2026,,,7,0,0,0,0,3,,,,,,,,,,,
Mymensingh Civil Surgeon Office,mymensingh@cs.dghs.gov.bd,Mymensingh,Mymensingh,4/10/2026,,,8,0,0,0,0,0,,,,,,,,,,,
Naogaon Civil Surgeon Office,naogaon@cs.dghs.gov.bd,Rajshahi,Naogaon,4/10/2026,,,20,0,0,0,6,11,,,,,,,,,,,
Narail Civil Surgeon Office,narail@cs.dghs.gov.bd,Khulna,Narail,4/10/2026,,,8,0,0,0,2,6,,,,,,,,,,,
Narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,Dhaka,Narayanganj,4/10/2026,,,5,0,0,0,4,0,,,,,,,,,,,
Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,Dhaka,Narsingdi,4/10/2026,,,11,0,0,0,11,11,,,,,,,,,,,
Natore Civil Surgeon Office,natore@cs.dghs.gov.bd,Rajshahi,Natore,4/10/2026,,,9,0,0,0,7,9,,,,,,,,,,,
Netrokona Civil Surgeon Office,netrokona@cs.dghs.gov.bd,Mymensingh,Netrokona,4/10/2026,,,13,0,0,0,8,8,,,,,,,,,,,
Nilphamari Civil Surgeon Office,nilphamari@cs.dghs.gov.bd,Rangpur,Nilphamari,4/10/2026,,,3,0,0,0,3,2,,,,,,,,,,,
Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,Chattogram,Noakhali,4/10/2026,,,17,0,0,0,10,10,,,,,,,,,,,
Pabna Civil Surgeon Office,pabna@cs.dghs.gov.bd,Rajshahi,Pabna,4/10/2026,,,21,0,0,0,21,19,,,,,,,,,,,
Panchagarh Civil Surgeon Office,panchagarh@cs.dghs.gov.bd,Rangpur,Panchagarh,4/10/2026,,,4,0,0,0,0,0,,,,,,,,,,,
Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,Barisal,Patuakhali,4/10/2026,,,46,0,0,0,22,26,,,,,,,,,,,
Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,Barisal,Pirojpur,4/10/2026,,,8,0,0,0,4,3,,,,,,,,,,,
Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,Dhaka,Rajbari,4/10/2026,,,12,0,0,0,1,5,,,,,,,,,,,
Rajshahi Civil Surgeon Office,rajshahi@cs.dghs.gov.bd,Rajshahi,Rajshahi,4/10/2026,,,0,2,0,0,0,0,,,,,,,,,,,
Rajshahi Medical College Hospital,rajshahimch@hospi.dghs.gov.bd,Rajshahi,Rajshahi,4/10/2026,,,136,0,0,0,29,25,,,,,,,,,,,
Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,Chattogram,Rangamati,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Rangpur Civil Surgeon Office,rangpur@cs.dghs.gov.bd,Rangpur,Rangpur,4/10/2026,,,6,0,0,0,0,0,,,,,,,,,,,
Satkhira Civil Surgeon Office,satkhira@cs.dghs.gov.bd,Khulna,Satkhira,4/10/2026,,,2,0,0,0,2,9,,,,,,,,,,,
Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,30,19,0,0,27,30,,,,,,,,,,,
Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,Dhaka,Shariatpur,4/10/2026,,,11,1,0,0,5,10,,,,,,,,,,,
Sherpur Civil Surgeon Office,sherpur@cs.dghs.gov.bd,Mymensingh,Sherpur,4/10/2026,,,4,0,0,0,1,1,,,,,,,,,,,
"Sir Salimullah medical College Mitford Hospital, dhaka",mitford@hospi.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,5,0,0,0,0,0,,,,,,,,,,,
Sirajganj Civil Surgeon Office,sirajganj@cs.dghs.gov.bd,Rajshahi,Sirajganj,4/10/2026,,,14,14,0,0,14,14,,,,,,,,,,,
Square Hospital LTD,muktadir@squarehospital.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Sunamganj Civil Surgeon Office,sunamganj@cs.dghs.gov.bd,Sylhet,Sunamganj,4/10/2026,,,19,0,0,0,16,8,,,,,,,,,,,
Sylhet Civil Surgeon Office,sylhet@cs.dghs.gov.bd,Sylhet,Sylhet,4/10/2026,,,16,0,0,0,10,8,,,,,,,,,,,
Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,Dhaka,Tangail,4/10/2026,,,18,1,0,0,26,11,,,,,,,,,,,
Thakurgaon Civil Surgeon Office,thakurgaon@cs.dghs.gov.bd,Rangpur,Thakurgaon,4/10/2026,,,4,0,0,0,1,2,,,,,,,,,,,
Universal medical college hospital,umcrc2022@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,10,0,0,0,0,,,,,,,,,,,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",mdshihab886@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Aichi Hospital Ltd.,sabik.aichi@gmail.com,Dhaka,Dhaka,4/11/2026,,,1,0,0,0,0,0,,,,,,,,,,,
AMZ Hospital Ltd.,amzhospitalltd.mis10699@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,9,0,1,0,1,,,,,,,,,,,
Asgar Ali Hospital,zahidulhaq@asgaralihospital.com,Dhaka,Dhaka,4/11/2026,,,1,1,0,0,1,0,,,,,,,,,,,
Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,Khulna,Bagerhat,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,Chattogram,Bandarban,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bangladesh medical University,bmu@example.com,Dhaka,Dhaka,4/11/2026,,,4,4,0,0,4,0,,,,,,,,,,,
Bangladesh Specialized Hospital PLC,bshl.dhaka@gmail.com,Dhaka,Dhaka,4/11/2026,,,3,1,0,0,1,0,,,,,,,,,,,
Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,Barisal,Barguna,4/11/2026,,,20,0,0,0,3,1,,,,,,,,,,,
Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,Barisal,Barisal,4/11/2026,,,2,0,0,0,3,4,,,,,,,,,,,
Better Life Hospital Ltd,betterlife@fargroupbd.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,Barisal,Bhola,4/11/2026,,,5,0,0,0,5,5,,,,,,,,,,,
BIHS General Hospital,mhasemanto@gmail.com,Dhaka,Dhaka,4/11/2026,,,2,0,0,0,1,0,,,,,,,,,,,
BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,Dhaka,Dhaka,4/11/2026,,,1,0,0,0,1,1,,,,,,,,,,,
Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,Rajshahi,Bogura,4/11/2026,,,0,0,0,0,6,1,,,,,,,,,,,
Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,Chattogram,Brahmanbaria,4/11/2026,,,12,0,0,0,12,0,,,,,,,,,,,
BRB Hospital Ltd,rasel.hr@brbhospital.com,Dhaka,Dhaka,4/11/2026,,,3,0,0,0,0,1,,,,,,,,,,,
Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,Chattogram,Chandpur,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,Rajshahi,Chapainawabganj,4/11/2026,,,29,0,0,0,29,16,,,,,,,,,,,
Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,Chattogram,Chattogram,4/11/2026,,,15,8,0,0,15,21,,,,,,,,,,,
Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,Khulna,Chuadanga,4/11/2026,,,2,0,0,0,2,6,,,,,,,,,,,
CITY HOSPITAL LTD.,cityhosp.bd@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Continental Hospital,continental@example.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,2,,,,,,,,,,,
Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,Chattogram,Cox's Bazar,4/11/2026,,,34,0,0,0,34,32,,,,,,,,,,,
Crescent Gastroliver & General Hospital Ltd.,crescentgastroliver2010@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,Chattogram,Cumilla,4/11/2026,,,23,0,0,0,23,12,,,,,,,,,,,
DELTA HOSPITAL LIMITED,amiruldelta@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Dhaka Central International Medical College & Hospital,admin@dcimch.com,Dhaka,Dhaka,4/11/2026,,,1,1,0,0,1,1,,,,,,,,,,,
Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,8,0,0,0,8,3,,,,,,,,,,,
Dhaka Community Medical College Hospital,ashrafulislamirfan@gmail.com,Dhaka,Dhaka,4/11/2026,,,57,2,0,0,2,2,,,,,,,,,,,
Dhaka medical College hospital,dmch@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Dinajpur Civil Surgeon Office,dinajpur@cs.dghs.gov.bd,Rangpur,Dinajpir,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Dinajpur Civil Surgeon Office,dinajpur@cs.dghs.gov.bd,Rangpur,Dinajpur,4/11/2026,,,10,0,0,0,0,0,,,,,,,,,,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,130,0,0,0,83,81,,,,,,,,,,,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,Dhaka,Dhaka,4/11/2026,,,26,26,0,0,4,4,,,,,,,,,,,
Dr. Sirajul Islam Medical College & Hospital Ltd.,simch.bd@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,8,0,0,1,2,,,,,,,,,,,
Enam Medical College & Hospital,info@emch.com.bd,Dhaka,Dhaka,4/11/2026,,,0,7,0,0,7,1,,,,,,,,,,,
"Evercare Hospital, Dhaka",mrdept@evercarebd.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,Dhaka,Faridpur,4/11/2026,,,10,0,0,0,10,9,,,,,,,,,,,
Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,Chattogram,Feni,4/11/2026,,,1,0,0,0,4,1,,,,,,,,,,,
Gaibandha Civil Surgeon Office,gaibandha@cs.dghs.gov.bd,Rangpur,Gaibandha,4/11/2026,,,3,0,0,0,1,0,,,,,,,,,,,
Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,Dhaka,Gazipur,4/11/2026,,,14,0,0,0,14,1,,,,,,,,,,,
Gopalganj  Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,Dhaka,Gopalganj  ,4/11/2026,,,18,0,0,0,9,4,,,,,,,,,,,
Habiganj Civil Surgeon Office,habiganj@cs.dghs.gov.bd,Sylhet,Habiganj,4/11/2026,,,2,0,0,0,2,5,,,,,,,,,,,
Hi-Care General Hospital Ltd.,hicare13@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Holy Family Red Cerscent Medical College Hospital0,hfrcmchdhaka@yahoo.com,Dhaka,Dhaka,4/11/2026,,,0,2,0,0,2,1,,,,,,,,,,,
Ibn Sina Hospital,ibnsinahospitaldhanmondidengue@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Ibn Sina Medical College Hospital,ismchoffice@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",kidh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,34,0,0,0,18,1,,,,,,,,,,,
Insaf Barakah Kidney & General Hospital,insafbarakah@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Jamalpur Civil Surgeon Office,jamalpur@cs.dghs.gov.bd,Mymensingh,Jamalpur,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
jashore Civil Surgeon Office,jashore@cs.dghs.gov.bd,Khulna,jashore,4/11/2026,,,2,0,0,0,0,4,,,,,,,,,,,
Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,Barisal,Jhalakathi,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Jhenaidah Civil Surgeon Office,jhenaidah@cs.dghs.gov.bd,Khulna,Jhenaidah,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Joypurhat Civil Surgeon Office,joypurhat@cs.dghs.gov.bd,Rajshahi,Joypurhat,4/11/2026,,,2,0,0,0,2,0,,,,,,,,,,,
Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,Chattogram,Khagrachhari,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khidmah Hospital (Pvt.) Ltd,info@khidmahhospital.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khulna Civil Surgeon Office,khulna@cs.dghs.gov.bd,Khulna,Khulna,4/11/2026,,,9,0,0,0,9,8,,,,,,,,,,,
Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,Dhaka,Kishoreganj,4/11/2026,,,15,0,0,0,18,22,,,,,,,,,,,
Kurigram Civil Surgeon Office,kurigram@cs.dghs.gov.bd,Rangpur,Kurigram,4/11/2026,,,0,0,0,0,0,2,,,,,,,,,,,
Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
KUSHTIA Civil Surgeon Office,kushtia@cs.dghs.gov.bd,Khulna,KUSHTIA,4/11/2026,,,26,0,0,0,26,25,,,,,,,,,,,
Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,Chattogram,Lakshmipur,4/11/2026,,,9,0,0,0,9,1,,,,,,,,,,,
lalmonirhat Civil Surgeon Office,lalmonirhat@cs.dghs.gov.bd,Rangpur,lalmonirhat,4/11/2026,,,1,0,0,0,1,0,,,,,,,,,,,
Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,Dhaka,Madaripur,4/11/2026,,,7,0,0,0,7,6,,,,,,,,,,,
Magura Civil Surgeon Office,magura@cs.dghs.gov.bd,Khulna,Magura,4/11/2026,,,5,0,0,0,5,10,,,,,,,,,,,
Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,Dhaka,Manikganj,4/11/2026,,,14,0,0,0,14,8,,,,,,,,,,,
Medical College for Women & Hospital,nurarubel@outlook.com,Dhaka,Dhaka,4/11/2026,,,0,6,0,0,0,0,,,,,,,,,,,
Meherpur Civil Surgeon Office,meherpur@cs.dghs.gov.bd,Khulna,Meherpur,4/11/2026,,,3,0,0,0,3,3,,,,,,,,,,,
Millennium specialized Hospital Ltd.,infomshl99@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,1,0,0,0,3,,,,,,,,,,,
Moulvibazar Civil Surgeon Office,moulvibazar@cs.dghs.gov.bd,Sylhet,Moulvibazar,4/11/2026,,,5,1,0,0,5,0,,,,,,,,,,,
"Mugda Medical College Hospital, Dhaka",first@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,3,0,0,0,3,0,,,,,,,,,,,
Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,Dhaka,Munshiganj,4/11/2026,,,6,0,0,0,6,5,,,,,,,,,,,
Mymensingh Civil Surgeon Office,mymensingh@cs.dghs.gov.bd,Mymensingh,Mymensingh,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Naogaon Civil Surgeon Office,naogaon@cs.dghs.gov.bd,Rajshahi,Naogaon,4/11/2026,,,4,0,0,0,4,0,,,,,,,,,,,
Narail Civil Surgeon Office,narail@cs.dghs.gov.bd,Khulna,Narail,4/11/2026,,,3,0,0,0,3,0,,,,,,,,,,,
narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,Dhaka,narayanganj,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,Dhaka,Narsingdi,4/11/2026,,,6,0,0,0,6,5,,,,,,,,,,,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),nitor@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Natore Civil Surgeon Office,natore@cs.dghs.gov.bd,Rajshahi,Natore,4/11/2026,,,3,0,0,0,1,3,,,,,,,,,,,
Netrokona Civil Surgeon Office,netrokona@cs.dghs.gov.bd,Mymensingh,Netrokona,4/11/2026,,,4,0,0,0,4,0,,,,,,,,,,,
Nilphamari Civil Surgeon Office,nilphamari@cs.dghs.gov.bd,Rangpur,Nilphamari,4/11/2026,,,2,0,0,0,2,2,,,,,,,,,,,
Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,Chattogram,Noakhali,4/11/2026,,,2,0,0,0,2,1,,,,,,,,,,,
Pabna Civil Surgeon Office,pabna@cs.dghs.gov.bd,Rajshahi,Pabna,4/11/2026,,,18,0,0,0,18,17,,,,,,,,,,,
Panchagarh Civil Surgeon Office,panchagarh@cs.dghs.gov.bd,Rangpur,Panchagarh,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,Barisal,Patuakhali,4/11/2026,,,11,0,0,0,11,15,,,,,,,,,,,
Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,Barisal,Pirojpur,4/11/2026,,,0,0,0,0,0,3,,,,,,,,,,,
Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,Dhaka,Rajbari,4/11/2026,,,5,0,0,0,3,3,,,,,,,,,,,
Rajshahi Civil Surgeon Office,rajshahi@cs.dghs.gov.bd,Rajshahi,Rajshahi,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Rajshahi Medical College Hospital,rajshahimch@hospi.dghs.gov.bd,Rajshahi,Rajshahi,4/11/2026,,,154,0,0,0,27,9,,,,,,,,,,,
Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,Chattogram,Rangamati,4/11/2026,,,4,0,0,0,0,0,,,,,,,,,,,
Rangpur Civil Surgeon Office,rangpur@cs.dghs.gov.bd,Rangpur,Rangpur,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Satkhira Civil Surgeon Office,satkhira@cs.dghs.gov.bd,Khulna,Satkhira,4/11/2026,,,0,0,0,0,0,1,,,,,,,,,,,
"Shaheed Monsur Ali Medcial College Hospital, Uttara, Dhaka-1230.",smamch.1995@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,25,0,0,0,20,10,,,,,,,,,,,
Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,Dhaka,Shariatpur,4/11/2026,,,9,0,0,0,9,0,,,,,,,,,,,
Sherpur Civil Surgeon Office,sherpur@cs.dghs.gov.bd,Mymensingh,Sherpur,4/11/2026,,,1,0,0,0,0,0,,,,,,,,,,,
"Sir Salimullah Medical College, Mitford Hospital Dhaka",mitford@hospi.dghs.gov.bd,Dhaka,Dhaka,4/11/2026,,,5,0,0,0,0,0,,,,,,,,,,,
Sirajganj Civil Surgeon Office,sirajganj@cs.dghs.gov.bd,Rajshahi,Sirajganj,4/11/2026,,,2,2,0,0,2,3,,,,,,,,,,,
Square Hospital LTD,muktadir@squarehospital.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Sunamganj Civil Surgeon Office,sunamganj@cs.dghs.gov.bd,Sylhet,Sunamganj,4/11/2026,,,5,0,0,0,5,1,,,,,,,,,,,
Sylhet Civil Surgeon Office,sylhet@cs.dghs.gov.bd,Sylhet,Sylhet,4/11/2026,,,8,0,1,0,7,5,,,,,,,,,,,
Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,Dhaka,Tangail,4/11/2026,,,37,0,0,0,15,13,,,,,,,,,,,
Thakurgaon Civil Surgeon Office,thakurgaon@cs.dghs.gov.bd,Rangpur,Thakurgaon,4/11/2026,,,2,0,0,0,0,0,,,,,,,,,,,
United Medical College Hospital,unknown@umch.com,Dhaka,Dhaka,4/11/2026,,,0,1,0,0,0,0,,,,,,,,,,,
Universal medical college hospital,umcrc2022@gmail.com,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,2,,,,,,,,,,,
